time,acc_x,acc_y,acc_z
14:42:59.904,0.01636,0.03418,1.01147;
14:42:59.984,0.01611,0.03369,1.01074;
14:43:00.064,0.01538,0.03418,1.01074;
14:43:00.144,0.01563,0.03467,1.01196;
14:43:00.224,0.01514,0.03418,1.01123;
14:43:00.304,0.01489,0.03296,1.01123;
14:43:00.384,0.01489,0.03394,1.01147;
14:43:00.464,0.01538,0.03442,1.01025;
14:43:00.544,0.01611,0.03369,1.01099;
14:43:00.624,0.01563,0.03345,1.01099;
14:43:00.704,0.01538,0.03491,1.01074;
14:43:00.784,0.01587,0.03418,1.01123;
14:43:00.864,0.01611,0.03442,1.01147;
14:43:00.944,0.00977,0.03052,1.01245;
14:43:01.024,0.00146,0.04419,1.01099;
14:43:01.104,0.02612,0.01270,1.01245;
14:43:01.184,0.01978,0.02124,1.01245;
14:43:01.264,0.01147,0.02979,1.01416;
14:43:01.344,0.02734,0.02637,1.01270;
14:43:01.424,0.00903,0.03223,1.01367;
14:43:01.504,0.02222,0.01929,1.01489;
14:43:01.584,-0.00586,0.02832,1.01050;
14:43:01.664,-0.05591,-0.02026,1.01318;
14:43:01.744,-0.00830,0.08887,1.01563;
14:43:01.824,0.00269,0.17847,1.05103;
14:43:01.904,-0.09888,0.31665,0.99268;
14:43:01.984,-0.01465,0.53296,0.88501;
14:43:02.064,0.11328,0.75659,0.86646;
14:43:02.144,-0.04810,0.86084,0.67847;
14:43:02.224,-0.04932,0.92261,0.47534;
14:43:02.304,0.08130,0.81689,0.38062;
14:43:02.384,0.13452,0.83740,0.42188;
14:43:02.464,0.17822,0.83569,0.45605;
14:43:02.544,0.14063,0.83081,0.55176;
14:43:02.624,0.10034,0.78638,0.68018;
14:43:02.704,0.03027,0.83081,0.72607;
14:43:02.784,-0.03833,0.84033,0.72925;
14:43:02.864,0.01880,0.85010,0.69971;
14:43:02.944,0.12720,0.89771,0.43384;
14:43:03.024,0.23804,0.93652,0.17773;
14:43:03.104,0.25928,0.89771,0.21826;
14:43:03.184,0.25928,1.02295,0.23853;
14:43:03.264,0.34180,1.11963,0.23291;
14:43:03.344,0.40723,1.11108,0.00024;
14:43:03.424,0.40771,0.75659,-0.35181;
14:43:03.504,0.45215,0.22632,-0.63037;
14:43:03.584,0.53101,0.11646,-0.84546;
14:43:03.664,0.53101,0.17529,-0.84473;
14:43:03.744,0.46094,0.29907,-0.89648;
14:43:03.824,0.50806,0.27954,-0.90991;
14:43:03.904,0.51001,0.17114,-0.87573;
14:43:03.984,0.62793,0.30322,-0.87817;
14:43:04.064,0.60132,0.13452,-0.88916;
14:43:04.144,0.40308,-0.07617,-0.69263;
14:43:04.224,0.40552,-0.35352,-0.82520;
14:43:04.304,0.12842,-0.26758,-1.01807;
14:43:04.384,0.25415,-0.28442,-0.84204;
14:43:04.464,0.18579,-0.57959,-0.76489;
14:43:04.544,-0.22339,-0.76758,-0.77026;
14:43:04.624,0.01709,-0.70947,-0.81543;
14:43:04.704,-0.02832,-0.54858,-0.88843;
14:43:04.784,-0.05737,-0.53027,-0.89136;
14:43:04.864,-0.00122,-0.47290,-0.89307;
14:43:04.944,-0.06274,-0.58447,-0.89014;
14:43:05.024,-0.04346,-0.49902,-0.77637;
14:43:05.104,-0.04175,-0.51221,-0.87280;
14:43:05.184,-0.01489,-0.61914,-0.88916;
14:43:05.264,-0.00391,-0.66919,-0.78711;
14:43:05.344,0.01416,-0.63086,-0.71313;
14:43:05.424,-0.17383,-0.59985,-0.70630;
14:43:05.504,-0.18750,-0.57495,-0.79321;
14:43:05.584,-0.12134,-0.60010,-0.77734;
14:43:05.664,-0.09668,-0.62891,-0.70801;
14:43:05.744,-0.02148,-0.64038,-0.73608;
14:43:05.824,0.04761,-0.64087,-0.76880;
14:43:05.904,0.07788,-0.64038,-0.81372;
14:43:05.984,0.07471,-0.61475,-0.81030;
14:43:06.064,0.07739,-0.60864,-0.80566;
14:43:06.144,0.06445,-0.61377,-0.79590;
14:43:06.224,0.05933,-0.62354,-0.76978;
14:43:06.304,0.05811,-0.63525,-0.76196;
14:43:06.384,0.05640,-0.63892,-0.76685;
14:43:06.464,0.04688,-0.63232,-0.76733;
14:43:06.544,0.04614,-0.63013,-0.76465;
14:43:06.624,0.02490,-0.62524,-0.77222;
14:43:06.704,0.01172,-0.62109,-0.79492;
14:43:06.784,0.01929,-0.62061,-0.78784;
14:43:06.864,0.00977,-0.61523,-0.77856;
14:43:06.944,-0.01709,-0.59961,-0.80469;
14:43:07.024,-0.17920,-0.51245,-0.87036;
14:43:07.104,-0.28516,-0.44360,-0.88940;
14:43:07.184,-0.04346,-0.39014,-0.91748;
14:43:07.264,0.25854,-0.38843,-0.88306;
14:43:07.344,0.29688,-0.39819,-0.79224;
14:43:07.424,0.55713,-0.16968,-0.80371;
14:43:07.504,0.73022,-0.18408,-0.74463;
14:43:07.584,0.82617,-0.12817,-0.63940;
14:43:07.664,0.82153,-0.08350,-0.79541;
14:43:07.744,0.71680,-0.07495,-0.69995;
14:43:07.824,0.65283,0.17383,-0.85986;
14:43:07.904,0.39600,0.30225,-1.04761;
14:43:07.984,0.20825,0.45313,-0.92627;
14:43:08.064,0.15161,0.51538,-0.87695;
14:43:08.144,-0.00586,0.67285,-0.65894;
14:43:08.224,-0.18750,0.88281,-0.45410;
14:43:08.304,-0.28467,0.78662,-0.00781;
14:43:08.384,-0.24805,0.76782,0.42041;
14:43:08.464,-0.17578,0.78540,0.69312;
14:43:08.544,0.13330,0.69458,0.79102;
14:43:08.624,0.12769,0.61157,0.76880;
14:43:08.704,0.18481,0.72485,0.87280;
14:43:08.784,0.28149,0.74976,0.84937;
14:43:08.864,0.20337,0.55151,0.75171;
14:43:08.944,0.17407,0.46533,0.89795;
14:43:09.024,0.08130,0.30884,1.00342;
14:43:09.104,0.05103,0.08032,1.04834;
14:43:09.184,0.02148,0.05054,1.04492;
14:43:09.264,0.06812,0.00000,0.99634;
14:43:09.344,0.08960,0.00562,1.00122;
14:43:09.424,0.03271,0.02100,1.03223;
14:43:09.504,0.03296,-0.05176,1.02222;
14:43:09.584,0.02881,-0.05786,1.00684;
14:43:09.664,0.05151,-0.03516,1.00952;
14:43:09.744,0.01831,-0.06445,1.01270;
14:43:09.824,0.03662,-0.09839,1.00659;
14:43:09.904,0.04175,-0.09766,1.00903;
14:43:09.984,0.05640,-0.08691,1.00586;
14:43:10.064,0.06177,-0.07446,1.00488;
14:43:10.144,0.06104,-0.06812,1.00708;
14:43:10.224,0.06445,-0.03833,1.00195;
14:43:10.304,0.06689,-0.04492,1.00879;
14:43:10.384,0.06665,-0.06689,1.00049;
14:43:10.464,0.06470,-0.08325,1.00293;
14:43:10.544,0.06274,-0.09277,1.01245;
14:43:10.624,0.05078,-0.10913,1.00146;
14:43:10.704,0.04858,-0.11621,0.99927;
14:43:10.784,0.04712,-0.11841,1.00635;
14:43:10.864,0.04053,-0.12695,1.00488;
14:43:10.944,0.04004,-0.12964,0.99951;
14:43:11.024,0.04370,-0.11816,1.00513;
14:43:11.104,0.05176,-0.11499,0.99976;
14:43:11.184,0.06860,-0.12720,1.00122;
14:43:11.264,0.07446,-0.12622,1.00537;
14:43:11.344,0.08447,-0.12769,0.99805;
14:43:11.424,0.08643,-0.12866,1.00049;
14:43:11.504,0.07788,-0.11865,1.00073;
14:43:11.584,0.07251,-0.11987,1.00806;
14:43:11.664,0.07910,-0.09204,1.00317;
14:43:11.744,0.08252,-0.08105,0.99561;
14:43:11.824,0.07764,-0.10083,1.00903;
14:43:11.904,0.06738,-0.11841,1.00317;
14:43:11.984,0.06152,-0.11475,1.00562;
14:43:12.064,0.07007,-0.11768,1.00513;
14:43:12.144,0.06543,-0.10083,1.00146;
14:43:12.224,0.06372,-0.11719,1.00391;
14:43:12.304,0.05737,-0.12329,1.00439;
14:43:12.384,0.06030,-0.11426,0.99902;
14:43:12.464,0.05737,-0.12549,1.00171;
14:43:12.544,0.05493,-0.11499,1.00391;
14:43:12.624,0.05176,-0.11304,1.00488;
14:43:12.704,0.05786,-0.12158,1.00757;
14:43:12.784,0.05664,-0.12695,1.00537;
14:43:12.864,0.05566,-0.12500,0.99561;
14:43:12.944,0.06104,-0.13306,1.00024;
14:43:13.024,0.06299,-0.13403,1.00635;
14:43:13.104,0.06030,-0.12695,1.00195;
14:43:13.184,0.06177,-0.10181,1.00098;
14:43:13.264,0.06152,-0.10889,1.01050;
14:43:13.344,0.07056,-0.09351,1.00244;
14:43:13.424,0.07178,-0.07031,1.00146;
14:43:13.504,0.08765,-0.07227,1.00781;
14:43:13.584,0.09448,-0.06006,1.00879;
14:43:13.664,0.08472,-0.07007,1.00244;
14:43:13.744,0.08423,-0.09229,1.00122;
14:43:13.824,0.07642,-0.13037,1.00830;
14:43:13.904,0.06836,-0.17261,0.99146;
14:43:13.984,0.07178,-0.18628,1.00146;
14:43:14.064,0.08105,-0.20874,0.98804;
14:43:14.144,0.07617,-0.20996,0.99243;
14:43:14.224,0.08496,-0.20410,0.99316;
14:43:14.304,0.10327,-0.18774,0.99878;
14:43:14.384,0.09863,-0.13770,1.00757;
14:43:14.464,0.08423,-0.09009,0.98145;
14:43:14.544,0.09814,0.05469,1.02588;
14:43:14.624,0.09131,0.09668,1.07690;
14:43:14.704,0.11743,0.16284,1.05347;
14:43:14.784,0.14502,0.23267,1.01929;
14:43:14.864,0.18555,0.40601,0.91919;
14:43:14.944,0.28418,0.55298,0.85376;
14:43:15.024,0.35181,0.51782,0.76440;
14:43:15.104,0.32300,0.59863,0.72705;
14:43:15.184,0.35059,0.72656,0.64990;
14:43:15.264,0.42407,1.05029,0.59033;
14:43:15.344,0.39673,0.91675,0.45801;
14:43:15.424,0.50391,0.72705,0.12305;
14:43:15.504,0.47900,0.63525,-0.18140;
14:43:15.584,0.50903,0.64819,-0.47900;
14:43:15.664,0.59326,0.77466,-0.45264;
14:43:15.744,0.53467,0.78247,-0.38403;
14:43:15.824,0.53003,0.85254,-0.44751;
14:43:15.904,0.53516,0.75000,-0.43555;
14:43:15.984,0.57520,0.67114,-0.50464;
14:43:16.064,0.55835,0.67529,-0.57788;
14:43:16.144,0.53125,0.68384,-0.52808;
14:43:16.224,0.51660,0.63403,-0.51050;
14:43:16.304,0.56030,0.69849,-0.52002;
14:43:16.384,0.56543,0.74609,-0.54395;
14:43:16.464,0.52832,0.69409,-0.54126;
14:43:16.544,0.54956,0.66675,-0.52222;
14:43:16.624,0.59082,0.72485,-0.48486;
14:43:16.704,0.58423,0.74902,-0.41602;
14:43:16.784,0.59106,0.74902,-0.42163;
14:43:16.864,0.60010,0.73999,-0.35400;
14:43:16.944,0.61328,0.74585,-0.23511;
14:43:17.024,0.60620,0.78687,-0.12012;
14:43:17.104,0.61133,0.81982,-0.03027;
14:43:17.184,0.62500,0.78247,0.24902;
14:43:17.264,0.62988,0.70898,0.50879;
14:43:17.344,0.63721,0.65601,0.56543;
14:43:17.424,0.63330,0.54297,0.65625;
14:43:17.504,0.62329,0.50537,0.66699;
14:43:17.584,0.62769,0.58960,0.62769;
14:43:17.664,0.61475,0.57959,0.59229;
14:43:17.744,0.62769,0.54175,0.59839;
14:43:17.824,0.69238,0.58521,0.46216;
14:43:17.904,0.70264,0.63574,0.32373;
14:43:17.984,0.70068,0.68628,0.28174;
14:43:18.064,0.72021,0.68359,0.26416;
14:43:18.144,0.72144,0.69531,0.28198;
14:43:18.224,0.71826,0.70435,0.26416;
14:43:18.304,0.72925,0.68262,0.22021;
14:43:18.384,0.74048,0.72095,0.18848;
14:43:18.464,0.72241,0.76782,0.10913;
14:43:18.544,0.68018,0.66479,-0.04053;
14:43:18.624,0.76294,0.76489,-0.02710;
14:43:18.704,0.74707,0.80322,0.04370;
14:43:18.784,0.68384,0.67041,0.03442;
14:43:18.864,0.69238,0.69604,0.01685;
14:43:18.944,0.73999,0.71460,-0.00171;
14:43:19.024,0.75269,0.75708,-0.01318;
14:43:19.104,0.69849,0.73193,0.01831;
14:43:19.184,0.70752,0.74902,0.00928;
14:43:19.264,0.71362,0.78833,0.03223;
14:43:19.344,0.71899,0.77490,0.06958;
14:43:19.424,0.70605,0.76538,0.07349;
14:43:19.504,0.68066,0.78857,0.10889;
14:43:19.584,0.67920,0.72192,0.15674;
14:43:19.664,0.68457,0.74365,0.15820;
14:43:19.744,0.64746,0.80981,0.20044;
14:43:19.824,0.65381,0.74658,0.16382;
14:43:19.904,0.64404,0.73730,0.11328;
14:43:19.984,0.66064,0.80591,0.10962;
14:43:20.064,0.69629,0.79102,0.13062;
14:43:20.144,0.69751,0.79468,0.09570;
14:43:20.224,0.70093,0.78418,-0.16333;
14:43:20.304,0.71655,0.73242,-0.20142;
14:43:20.384,0.67480,0.71289,-0.20190;
14:43:20.464,0.59619,0.74585,-0.33032;
14:43:20.544,0.45190,0.64648,-0.32568;
14:43:20.624,0.40234,0.67603,-0.18872;
14:43:20.704,0.42505,0.84326,-0.17944;
14:43:20.784,0.33740,0.98438,-0.34424;
14:43:20.864,0.36475,0.93896,-0.55005;
14:43:20.944,0.57666,0.98755,-0.26196;
14:43:21.024,-0.02124,1.35498,0.20679;
14:43:21.104,-0.20752,0.98364,-0.38135;
14:43:21.184,0.03662,0.88354,-0.44312;
14:43:21.264,-0.06836,0.99976,-0.05054;
14:43:21.344,-0.14697,1.11377,-0.07764;
14:43:21.424,-0.09863,1.07300,0.19580;
14:43:21.504,-0.01343,0.99902,0.41016;
14:43:21.584,-0.13452,0.79419,0.52686;
14:43:21.664,-0.30859,0.69580,0.73267;
14:43:21.744,-0.25244,0.66968,0.77124;
14:43:21.824,-0.18335,0.71924,0.68457;
14:43:21.904,-0.14697,0.74536,0.64380;
14:43:21.984,-0.13306,0.76001,0.66235;
14:43:22.064,-0.03833,0.77783,0.63330;
14:43:22.144,-0.03784,0.75439,0.66528;
14:43:22.224,-0.34253,0.61621,0.85498;
14:43:22.304,-0.17456,0.70532,0.81348;
14:43:22.384,-0.09497,0.74780,0.68750;
14:43:22.464,-0.17041,0.69092,0.73193;
14:43:22.544,-0.07495,0.75171,0.68506;
14:43:22.624,-0.08276,0.73169,0.66113;
14:43:22.704,-0.04907,0.72363,0.72314;
14:43:22.784,-0.08813,0.71704,0.73047;
14:43:22.864,-0.07813,0.72705,0.72217;
14:43:22.944,-0.10400,0.73608,0.73364;
14:43:23.024,-0.09790,0.73218,0.72046;
14:43:23.104,-0.09619,0.71240,0.72241;
14:43:23.184,-0.06982,0.71289,0.73682;
14:43:23.264,-0.09570,0.70654,0.74414;
14:43:23.344,-0.12817,0.69800,0.73657;
14:43:23.424,-0.09595,0.71582,0.73096;
14:43:23.504,-0.05786,0.72388,0.73071;
14:43:23.584,-0.09863,0.71411,0.74316;
14:43:23.664,-0.10815,0.70947,0.74121;
14:43:23.744,-0.08911,0.69556,0.74463;
14:43:23.824,-0.10596,0.67700,0.78662;
14:43:23.904,-0.06689,0.67578,0.77930;
14:43:23.984,-0.03906,0.70972,0.75513;
14:43:24.064,-0.05371,0.76587,0.65308;
14:43:24.144,-0.07886,0.81836,0.58203;
14:43:24.224,-0.07397,0.85742,0.57178;
14:43:24.304,-0.04565,0.88892,0.44824;
14:43:24.384,-0.04395,0.90186,0.46289;
14:43:24.464,-0.04639,0.92456,0.47314;
14:43:24.544,-0.04956,0.92139,0.44482;
14:43:24.624,-0.04492,0.88916,0.46069;
14:43:24.704,-0.03271,0.91479,0.44214;
14:43:24.784,-0.05176,0.92651,0.44067;
14:43:24.864,-0.06177,0.92725,0.43457;
14:43:24.944,-0.05493,0.92456,0.43262;
14:43:25.024,-0.05200,0.92578,0.42749;
14:43:25.104,-0.05396,0.92627,0.43262;
14:43:25.184,-0.05664,0.92700,0.42627;
14:43:25.264,-0.05566,0.92725,0.42700;
14:43:25.344,-0.05640,0.92700,0.42676;
14:43:25.424,-0.05542,0.92700,0.42358;
14:43:25.504,-0.05542,0.92822,0.42358;
14:43:25.584,-0.05786,0.92822,0.42529;
14:43:25.664,-0.05688,0.92822,0.42505;
14:43:25.744,-0.05591,0.92798,0.42676;
14:43:25.824,-0.05542,0.92749,0.42383;
14:43:25.904,-0.05835,0.92871,0.41895;
14:43:25.984,-0.04736,0.92505,0.42383;
14:43:26.064,-0.05225,0.92651,0.43140;
14:43:26.144,-0.06519,0.92896,0.41968;
14:43:26.224,-0.05566,0.92847,0.42383;
14:43:26.304,-0.05347,0.92822,0.42236;
14:43:26.384,-0.05371,0.92725,0.42456;
14:43:26.464,-0.05859,0.92700,0.42725;
14:43:26.544,-0.05786,0.92676,0.42603;
14:43:26.624,-0.05664,0.92749,0.42725;
14:43:26.704,-0.05713,0.92725,0.42236;
14:43:26.784,-0.05176,0.92603,0.42456;
14:43:26.864,-0.05835,0.92529,0.42578;
14:43:26.944,-0.05591,0.92627,0.42700;
14:43:27.024,-0.05762,0.92676,0.42651;
14:43:27.104,-0.06226,0.92822,0.42310;
14:43:27.184,-0.05127,0.92627,0.42480;
14:43:27.264,-0.05347,0.92456,0.42798;
14:43:27.344,-0.05884,0.92725,0.42261;
14:43:27.424,-0.05835,0.92725,0.42310;
14:43:27.504,-0.05591,0.92627,0.42480;
14:43:27.584,-0.05518,0.92700,0.42480;
14:43:27.664,-0.05884,0.92700,0.42432;
14:43:27.744,-0.06055,0.92725,0.42432;
14:43:27.824,-0.05786,0.92676,0.42480;
14:43:27.904,-0.05542,0.92725,0.42212;
14:43:27.984,-0.06079,0.92700,0.42383;
14:43:28.064,-0.05518,0.92578,0.42358;
14:43:28.144,-0.05420,0.92725,0.42139;
14:43:28.224,-0.05859,0.92798,0.42212;
14:43:28.304,-0.05835,0.92773,0.42383;
14:43:28.384,-0.06299,0.92676,0.42432;
14:43:28.464,-0.05933,0.92603,0.42432;
14:43:28.544,-0.05444,0.92578,0.42334;
14:43:28.624,-0.05273,0.92651,0.42236;
14:43:28.704,-0.05640,0.92676,0.42236;
14:43:28.784,-0.05884,0.92847,0.42261;
14:43:28.864,-0.05884,0.92700,0.42480;
14:43:28.944,-0.05640,0.92651,0.42358;
14:43:29.024,-0.05566,0.92676,0.42456;
14:43:29.104,-0.05737,0.92627,0.42676;
14:43:29.184,-0.05713,0.92822,0.42676;
14:43:29.264,-0.05786,0.92700,0.42749;
14:43:29.344,-0.05762,0.92554,0.42603;
14:43:29.424,-0.05664,0.92529,0.42383;
14:43:29.504,-0.05518,0.92700,0.42285;
14:43:29.584,-0.05640,0.92676,0.42529;
14:43:29.664,-0.05737,0.92773,0.42358;
14:43:29.744,-0.05957,0.92651,0.42456;
14:43:29.824,-0.05811,0.92554,0.42603;
14:43:29.904,-0.05664,0.92627,0.42529;
14:43:29.984,-0.05640,0.92505,0.42529;
14:43:30.064,-0.05688,0.92676,0.42432;
14:43:30.144,-0.05713,0.92627,0.42480;
14:43:30.224,-0.05737,0.92627,0.42529;
14:43:30.304,-0.05933,0.92554,0.42627;
14:43:30.384,-0.05640,0.92554,0.42627;
14:43:30.464,-0.05713,0.92554,0.42554;
14:43:30.544,-0.05664,0.92554,0.42676;
14:43:30.624,-0.05591,0.92554,0.42578;
14:43:30.704,-0.05688,0.92578,0.42603;
14:43:30.784,-0.05664,0.92554,0.42603;
14:43:30.864,-0.05664,0.92529,0.42676;
14:43:30.944,-0.05615,0.92554,0.42554;
14:43:31.024,-0.05713,0.92529,0.42676;
14:43:31.104,-0.05566,0.92554,0.42676;
14:43:31.184,-0.05664,0.92554,0.42603;
14:43:31.264,-0.05615,0.92529,0.42578;
14:43:31.344,-0.05640,0.92578,0.42505;
14:43:31.424,-0.05762,0.92554,0.42432;
14:43:31.504,-0.05493,0.92554,0.42651;
14:43:31.584,-0.05786,0.92578,0.42651;
14:43:31.664,-0.05713,0.92627,0.42651;
14:43:31.744,-0.05444,0.92578,0.42480;
14:43:31.824,-0.05615,0.92603,0.42407;
14:43:31.904,-0.05811,0.92676,0.42578;
14:43:31.984,-0.05664,0.92700,0.42554;
14:43:32.064,-0.05615,0.92725,0.42676;
14:43:32.144,-0.05566,0.92700,0.42676;
14:43:32.224,-0.05615,0.92627,0.42578;
14:43:32.304,-0.05737,0.92578,0.42480;
14:43:32.384,-0.05664,0.92627,0.42554;
14:43:32.464,-0.05688,0.92676,0.42529;
14:43:32.544,-0.05518,0.92651,0.42603;
14:43:32.624,-0.05713,0.92749,0.42554;
14:43:32.704,-0.05688,0.92798,0.42480;
14:43:32.784,-0.05493,0.92700,0.42578;
14:43:32.864,-0.05518,0.92773,0.42725;
14:43:32.944,-0.05518,0.92627,0.42749;
14:43:33.024,-0.05664,0.92651,0.42627;
14:43:33.104,-0.05518,0.92749,0.42529;
14:43:33.184,-0.05542,0.92651,0.42603;
14:43:33.264,-0.05713,0.92773,0.42505;
14:43:33.344,-0.05566,0.92676,0.42529;
14:43:33.424,-0.05591,0.92773,0.42651;
14:43:33.504,-0.05566,0.92798,0.42627;
14:43:33.584,-0.05493,0.92651,0.42651;
14:43:33.664,-0.05688,0.92651,0.42700;
14:43:33.744,-0.05664,0.92651,0.42651;
14:43:33.824,-0.05688,0.92676,0.42578;
14:43:33.904,-0.05640,0.92725,0.42383;
14:43:33.984,-0.05737,0.92725,0.42407;
14:43:34.064,-0.05542,0.92676,0.42676;
14:43:34.144,-0.05542,0.92749,0.42676;
14:43:34.224,-0.05762,0.92676,0.42627;
14:43:34.304,-0.05640,0.92725,0.42432;
14:43:34.384,-0.05713,0.92749,0.42383;
14:43:34.464,-0.05688,0.92651,0.42554;
14:43:34.544,-0.05640,0.92700,0.42554;
14:43:34.624,-0.05737,0.92676,0.42554;
14:43:34.704,-0.05640,0.92700,0.42603;
14:43:34.784,-0.05566,0.92725,0.42725;
14:43:34.864,-0.05688,0.92651,0.42505;
14:43:34.944,-0.05786,0.92651,0.42505;
14:43:35.024,-0.05640,0.92773,0.42651;
14:43:35.104,-0.05713,0.92651,0.42529;
14:43:35.184,-0.05762,0.92749,0.42529;
14:43:35.264,-0.05688,0.92725,0.42603;
14:43:35.344,-0.05664,0.92676,0.42578;
14:43:35.424,-0.05713,0.92651,0.42505;
14:43:35.504,-0.05664,0.92676,0.42578;
14:43:35.584,-0.05713,0.92700,0.42603;
14:43:35.664,-0.05713,0.92651,0.42480;
14:43:35.744,-0.05664,0.92651,0.42456;
14:43:35.824,-0.05762,0.92700,0.42603;
14:43:35.904,-0.05957,0.92749,0.42529;
14:43:35.984,-0.05713,0.92725,0.42407;
14:43:36.064,-0.05615,0.92676,0.42310;
14:43:36.144,-0.05640,0.92627,0.42407;
14:43:36.224,-0.05884,0.92700,0.42554;
14:43:36.304,-0.05884,0.92700,0.42310;
14:43:36.384,-0.05420,0.92627,0.42578;
14:43:36.464,-0.05859,0.92749,0.42578;
14:43:36.544,-0.05981,0.92725,0.42334;
14:43:36.624,-0.05688,0.92725,0.42236;
14:43:36.704,-0.05688,0.92725,0.42358;
14:43:36.784,-0.05664,0.92773,0.42432;
14:43:36.864,-0.05884,0.92651,0.42505;
14:43:36.944,-0.05762,0.92627,0.42480;
14:43:37.024,-0.05591,0.92700,0.42529;
14:43:37.104,-0.05664,0.92676,0.42554;
14:43:37.184,-0.05713,0.92725,0.42456;
14:43:37.264,-0.05688,0.92773,0.42578;
14:43:37.344,-0.05566,0.92749,0.42554;
14:43:37.424,-0.05591,0.92651,0.42603;
14:43:37.504,-0.05957,0.92725,0.42358;
14:43:37.584,-0.05737,0.92676,0.42310;
14:43:37.664,-0.05664,0.92676,0.42456;
14:43:37.744,-0.05884,0.92725,0.42480;
14:43:37.824,-0.05615,0.92725,0.42456;
14:43:37.904,-0.05981,0.92700,0.42407;
14:43:37.984,-0.05713,0.92651,0.42505;
14:43:38.064,-0.05518,0.92725,0.42529;
14:43:38.144,-0.05835,0.92700,0.42383;
14:43:38.224,-0.05786,0.92676,0.42432;
14:43:38.304,-0.05859,0.92700,0.42358;
14:43:38.384,-0.05688,0.92651,0.42432;
14:43:38.464,-0.05713,0.92651,0.42554;
14:43:38.544,-0.05737,0.92676,0.42407;
14:43:38.624,-0.05688,0.92700,0.42383;
14:43:38.704,-0.05859,0.92603,0.42456;
14:43:38.784,-0.05835,0.92676,0.42358;
14:43:38.864,-0.05981,0.92725,0.42407;
14:43:38.944,-0.05713,0.92651,0.42456;
14:43:39.024,-0.05640,0.92603,0.42310;
14:43:39.104,-0.05762,0.92578,0.42456;
14:43:39.184,-0.05811,0.92700,0.42310;
14:43:39.264,-0.05933,0.92676,0.42188;
14:43:39.344,-0.05713,0.92651,0.42334;
14:43:39.424,-0.05688,0.92676,0.42261;
14:43:39.504,-0.05884,0.92725,0.42236;
14:43:39.584,-0.05737,0.92676,0.42334;
14:43:39.664,-0.05713,0.92627,0.42407;
14:43:39.744,-0.05713,0.92749,0.42236;
14:43:39.824,-0.05786,0.92725,0.42480;
14:43:39.904,-0.05591,0.92725,0.42383;
14:43:39.984,-0.05713,0.92627,0.42432;
14:43:40.064,-0.05688,0.92822,0.42505;
14:43:40.144,-0.05713,0.92725,0.42407;
14:43:40.224,-0.05640,0.92700,0.42334;
14:43:40.304,-0.05688,0.92725,0.42480;
14:43:40.384,-0.05737,0.92700,0.42480;
14:43:40.464,-0.05688,0.92749,0.42407;
14:43:40.544,-0.05664,0.92676,0.42334;
14:43:40.624,-0.05737,0.92749,0.42456;
14:43:40.704,-0.05713,0.92749,0.42358;
14:43:40.784,-0.05859,0.92798,0.42261;
14:43:40.864,-0.05640,0.92700,0.42529;
14:43:40.944,-0.05664,0.92676,0.42456;
14:43:41.024,-0.05859,0.92749,0.42432;
14:43:41.104,-0.05737,0.92749,0.42432;
14:43:41.184,-0.06030,0.92749,0.42261;
14:43:41.264,-0.05811,0.92773,0.42310;
14:43:41.344,-0.05811,0.92773,0.42310;
14:43:41.424,-0.06006,0.92700,0.42334;
14:43:41.504,-0.05786,0.92725,0.42358;
14:43:41.584,-0.05835,0.92603,0.42407;
14:43:41.664,-0.05835,0.92554,0.42456;
14:43:41.744,-0.05957,0.92627,0.42456;
14:43:41.824,-0.05762,0.92700,0.42407;
14:43:41.904,-0.05762,0.92749,0.42334;
14:43:41.984,-0.05713,0.92725,0.42432;
14:43:42.064,-0.05835,0.92700,0.42529;
14:43:42.144,-0.05786,0.92773,0.42480;
14:43:42.224,-0.05688,0.92700,0.42505;
14:43:42.304,-0.05786,0.92725,0.42554;
14:43:42.384,-0.05713,0.92749,0.42554;
14:43:42.464,-0.05835,0.92700,0.42456;
14:43:42.544,-0.05737,0.92749,0.42310;
14:43:42.624,-0.05762,0.92749,0.42383;
14:43:42.704,-0.05811,0.92749,0.42285;
14:43:42.784,-0.05884,0.92725,0.42358;
14:43:42.864,-0.05737,0.92676,0.42529;
14:43:42.944,-0.05664,0.92676,0.42383;
14:43:43.024,-0.05762,0.92627,0.42358;
14:43:43.104,-0.05762,0.92725,0.42407;
14:43:43.184,-0.05811,0.92700,0.42285;
14:43:43.264,-0.05762,0.92700,0.42212;
14:43:43.344,-0.05762,0.92725,0.42334;
14:43:43.424,-0.05786,0.92773,0.42432;
14:43:43.504,-0.05688,0.92676,0.42383;
14:43:43.584,-0.05786,0.92700,0.42480;
14:43:43.664,-0.05786,0.92700,0.42432;
14:43:43.744,-0.05664,0.92773,0.42236;
14:43:43.824,-0.05957,0.92798,0.42505;
14:43:43.904,-0.05688,0.92700,0.42505;
14:43:43.984,-0.05713,0.92676,0.42188;
14:43:44.064,-0.05908,0.92651,0.42407;
14:43:44.144,-0.05884,0.92749,0.42407;
14:43:44.224,-0.05811,0.92700,0.42480;
14:43:44.304,-0.05786,0.92651,0.42505;
14:43:44.384,-0.05859,0.92627,0.42456;
14:43:44.464,-0.05859,0.92651,0.42554;
14:43:44.544,-0.05859,0.92725,0.42432;
14:43:44.624,-0.05713,0.92651,0.42554;
